country,year,sex,population,suicides/100k pop,HDI for year, gdp_for_year  ,gdp_per_capita ,generation,suicides_no,mean_age
Albania,1987,male,312900,6.71,0.7472515337423313,2156624900,796,Generation X,21,20
Albania,1987,male,308000,5.19,0.7472515337423313,2156624900,796,Silent,16,45
Albania,1987,female,289700,4.83,0.7472515337423313,2156624900,796,Generation X,14,20
Albania,1987,male,21800,4.59,0.7472515337423313,2156624900,796,G.I. Generation,1,85
Albania,1987,male,274300,3.28,0.7472515337423313,2156624900,796,Boomers,9,30
Albania,1987,female,35600,2.81,0.7472515337423313,2156624900,796,G.I. Generation,1,85
Albania,1987,female,278800,2.15,0.7472515337423313,2156624900,796,Silent,6,45
Albania,1987,female,257200,1.56,0.7472515337423313,2156624900,796,Boomers,4,30
Albania,1987,male,137500,0.73,0.7472515337423313,2156624900,796,G.I. Generation,1,65
Albania,1988,female,36400,5.49,0.7472515337423313,2126000000,769,G.I. Generation,2,85
Albania,1988,male,319200,5.33,0.7472515337423313,2126000000,769,Generation X,17,20
Albania,1988,male,22300,4.48,0.7472515337423313,2126000000,769,G.I. Generation,1,85
Albania,1988,male,314100,4.46,0.7472515337423313,2126000000,769,Silent,14,45
Albania,1988,male,140200,2.85,0.7472515337423313,2126000000,769,G.I. Generation,4,65
Albania,1988,female,295600,2.71,0.7472515337423313,2126000000,769,Generation X,8,20
Albania,1988,female,147500,2.03,0.7472515337423313,2126000000,769,G.I. Generation,3,65
Albania,1988,female,262400,1.91,0.7472515337423313,2126000000,769,Boomers,5,30
Albania,1988,male,279900,1.79,0.7472515337423313,2126000000,769,Boomers,5,30
Albania,1988,female,284500,1.41,0.7472515337423313,2126000000,769,Silent,4,45
Albania,1989,male,22500,8.89,0.7472515337423313,2335124988,833,G.I. Generation,2,85
Albania,1989,male,283600,6.35,0.7472515337423313,2335124988,833,Boomers,18,30
Albania,1989,male,318400,4.71,0.7472515337423313,2335124988,833,Silent,15,45
Albania,1989,male,142100,4.22,0.7472515337423313,2335124988,833,G.I. Generation,6,65
Albania,1989,male,323500,3.71,0.7472515337423313,2335124988,833,Generation X,12,20
Albania,1989,female,288600,2.43,0.7472515337423313,2335124988,833,Silent,7,45
Albania,1989,female,299900,1.67,0.7472515337423313,2335124988,833,Generation X,5,20
Albania,1989,female,266300,0.75,0.7472515337423313,2335124988,833,Boomers,2,30
Albania,1989,female,149600,0.67,0.7472515337423313,2335124988,833,G.I. Generation,1,65
Albania,1992,male,343800,3.49,0.7472515337423313,709452584,251,Boomers,12,45
Albania,1992,male,263700,3.41,0.7472515337423313,709452584,251,Generation X,9,20
Albania,1992,male,159500,3.13,0.7472515337423313,709452584,251,Silent,5,65
Albania,1992,male,245500,2.85,0.7472515337423313,709452584,251,Boomers,7,30
Albania,1992,female,292400,2.39,0.7472515337423313,709452584,251,Generation X,7,20
Albania,1992,female,267400,1.5,0.7472515337423313,709452584,251,Boomers,4,30
Albania,1992,female,323100,0.62,0.7472515337423313,709452584,251,Boomers,2,45
Albania,1992,female,164900,0.61,0.7472515337423313,709452584,251,Silent,1,65
Albania,1993,male,243300,7.4,0.7472515337423313,1228071038,437,Generation X,18,20
Albania,1993,male,165000,4.24,0.7472515337423313,1228071038,437,Silent,7,65
